2018-01-18 00:38:48.584 [main] INFO  com.imooc.o2o.O2oApplication - Starting O2oApplication on DESKTOP-M247JDC with PID 15280 (started by 10353 in F:\Spring Tool Suite\o2o)
2018-01-18 00:38:48.650 [main] INFO  com.imooc.o2o.O2oApplication - No active profile set, falling back to default profiles: default
2018-01-18 00:38:55.523 [main] INFO  com.imooc.o2o.cache.JedisPoolWriper - init jedispool success
2018-01-18 00:38:57.253 [main] INFO  com.imooc.o2o.O2oApplication - Started O2oApplication in 9.404 seconds (JVM running for 11.35)
2018-01-18 01:05:59.063 [http-nio-8080-exec-5] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:05:59.304 [http-nio-8080-exec-4] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:07:06.865 [http-nio-8080-exec-1] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:07:07.000 [http-nio-8080-exec-5] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:08:44.828 [http-nio-8080-exec-4] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:08:44.955 [http-nio-8080-exec-8] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:09:44.833 [http-nio-8080-exec-3] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:09:45.032 [http-nio-8080-exec-6] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:11:05.288 [http-nio-8080-exec-1] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:11:07.353 [http-nio-8080-exec-9] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:11:09.848 [http-nio-8080-exec-5] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:11:10.057 [http-nio-8080-exec-10] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:12:06.193 [http-nio-8080-exec-4] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:12:06.294 [http-nio-8080-exec-8] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:12:06.330 [http-nio-8080-exec-8] INFO  com.imooc.o2o.util.ShortNetAddressUtil - ready create connection...
2018-01-18 01:12:06.337 [http-nio-8080-exec-1] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:12:06.337 [http-nio-8080-exec-1] INFO  c.imooc.o2o.web.shopadmin.ShopAuthManageController - 店铺权限管理请求到达
2018-01-18 01:12:06.518 [http-nio-8080-exec-8] INFO  com.imooc.o2o.util.ShortNetAddressUtil - response string: {"tinyurl":"http:\/\/dwz.cn\/7gwE2P","status":0,"longurl":"https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx0ef11c0049518bbb&redirect_uri=http://smyang.s1.natapp.cc/o2o/shopadmin/addshopauthmap&response_type=code&scope=snsapi_userinfo&state=%7BaaashopIdaaa%3A28%2CaaacreateTimeaaa%3A1516209126295%7D#wechat_redirect","err_msg":""}
2018-01-18 01:12:06.537 [http-nio-8080-exec-8] INFO  com.imooc.o2o.util.ShortNetAddressUtil - tinyurl: http://dwz.cn/7gwE2P
2018-01-18 01:12:50.240 [http-nio-8080-exec-9] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:12:52.726 [http-nio-8080-exec-4] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:12:52.931 [http-nio-8080-exec-1] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:15:56.298 [http-nio-8080-exec-3] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:15:58.335 [http-nio-8080-exec-7] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:15:58.487 [http-nio-8080-exec-4] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:16:05.748 [http-nio-8080-exec-2] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
2018-01-18 01:16:07.301 [http-nio-8080-exec-6] INFO  c.i.o2o.interceptor.shopadmin.ShopLoginInterceptor - 请求到来
